id,dep,nom_simple,nom,nom_espace,nom_reel,long,lat
282,1,lescheroux,LESCHEROUX,lescheroux,Lescheroux,5.15,46.4
283,1,ornex,ORNEX,ornex,Ornex,6.1,46.2833
284,1,dommartin-01,DOMMARTIN,dommartin,Dommartin,4.99167,46.3417
285,1,lompnas,LOMPNAS,lompnas,Lompnas,5.51667,45.8
286,1,bettant,BETTANT,bettant,Bettant,5.36667,45.9333
287,1,armix,ARMIX,armix,Armix,5.58333,45.85
288,1,feillens,FEILLENS,feillens,Feillens,4.88333,46.3333
289,1,chavornay,CHAVORNAY,chavornay,Chavornay,5.7,45.8833
290,1,challex,CHALLEX,challex,Challex,5.96667,46.1833
291,1,vongnes,VONGNES,vongnes,Vongnes,5.71667,45.8167
292,1,magnieu,MAGNIEU,magnieu,Magnieu,5.71667,45.7833
293,1,groissiat,GROISSIAT,groissiat,Groissiat,5.6,46.2167
294,1,dompierre-sur-chalaronne,DOMPIERRE-SUR-CHALARONNE,dompierre sur chalaronne,Dompierre-sur-Chalaronne,4.9,46.1333
295,1,montluel,MONTLUEL,montluel,Montluel,5.05,45.85
296,1,poizat,LE POIZAT,le poizat,Le Poizat,5.7,46.15
297,1,hostiaz,HOSTIAZ,hostiaz,Hostiaz,5.53333,45.9
298,1,montanges,MONTANGES,montanges,Montanges,5.8,46.1667
299,1,sainte-julie,SAINTE-JULIE,sainte julie,Sainte-Julie,5.28333,45.8833
300,1,bey-01,BEY,bey,Bey,4.85,46.2167
301,1,sonthonnax-la-montagne,SONTHONNAX-LA-MONTAGNE,sonthonnax la montagne,Sonthonnax-la-Montagne,5.53333,46.2333
302,1,mezeriat,MEZERIAT,mezeriat,Mézériat,5.03333,46.2333
303,1,bellignat,BELLIGNAT,bellignat,Bellignat,5.61667,46.25
304,1,saint-marcel-01,SAINT-MARCEL,saint marcel,Saint-Marcel,4.98723,45.9487
305,1,belley,BELLEY,belley,Belley,5.68333,45.7667
306,1,corbonod,CORBONOD,corbonod,Corbonod,5.81667,45.95
