id,dep,name,long,lat
612,2,saint michel,4.13333,49.9167
613,2,castres,3.23333,49.8
614,2,mesbrecourt richecourt,3.55,49.7
615,2,beugneux,3.41667,49.2333
616,2,clermont les fermes,3.95,49.6667
617,2,condren,3.28333,49.6167
618,2,franqueville,3.80945,49.81
619,2,arcy sainte restitue,3.46667,49.25
620,2,burelles,3.9,49.7833
621,2,rocourt saint martin,3.38333,49.15
622,2,commenchon,3.16667,49.6333
623,2,voulpaix,3.83333,49.8333
624,2,bucy les cerny,3.51667,49.5833
625,2,renansart,3.45,49.7167
626,2,presles et boves,3.55,49.4
627,2,lavaqueresse,3.70833,49.95
628,2,cuffies,3.31667,49.4167
629,2,villequier aumont,3.2,49.65
630,2,vendelles,3.13333,49.9167
631,2,attilly,3.16667,49.85
632,2,berlancourt,3.75806,49.7787
633,2,grisolles,3.35,49.15
634,2,courcelles sur vesle,3.57195,49.3381
635,2,sons et roncheres,3.66667,49.75
636,2,seringes et nesles,3.53333,49.2
637,2,grandlup et fay,3.73333,49.6667
638,2,coincy,3.41667,49.1667
639,2,marly gomont,3.8,49.9
640,2,macogny,3.23333,49.1667
641,2,tartiers,3.23333,49.4333
642,2,gibercourt,3.28333,49.7333
643,2,pontru,3.21667,49.9
644,2,trelou sur marne,3.60695,49.077
645,2,la ville aux bois les dizy,3.99334,49.6612
646,2,amigny rouy,3.3,49.6
647,2,charmes,3.38333,49.65
648,2,viffort,3.45,48.9667
649,2,machecourt,3.84167,49.6583
650,2,nogent l artaud,3.31667,48.9667
651,2,tannieres,3.55,49.2833
652,2,saint erme outre et ramecourt,3.85,49.5167
653,2,jouaignes,3.5,49.3
654,2,vaucelles et beffecourt,3.55,49.5333
655,2,lesquielles saint germain,3.61667,49.9333
656,2,aizy jouy,3.51639,49.4348
657,2,faucoucourt,3.46667,49.5333
658,2,chavigny,3.3,49.4333
659,2,veuilly la poterie,3.21667,49.0833
660,2,mezy moulins,3.5,49.0667
661,2,gernicourt,3.86667,49.4
662,2,quincy basse,3.38333,49.5167
663,2,sergy,3.56667,49.1833
664,2,toulis et attencourt,3.73333,49.6833
665,2,puiseux en retz,3.13333,49.3
666,2,leuze,4.15,49.85
667,2,crezancy,3.5,49.05
668,2,noyales,3.55,49.9
669,2,marigny en orxois,3.21667,49.0667
670,2,foreste,3.1,49.8167
671,2,wissignicourt,3.43333,49.5333
672,2,tavaux et pontsericourt,3.91667,49.7333
673,2,saponay,3.48333,49.2167
674,2,ebouleau,3.86667,49.6667
675,2,orainville,4.01667,49.3833
676,2,missy les pierrepont,3.8,49.6333
677,2,neuilly saint front,3.26667,49.1667
678,2,tergnier,3.3,49.65
679,2,la ferte milon,3.11667,49.1667
680,2,bassoles aulers,3.38333,49.5333
681,2,le verguier,3.16667,49.9333
682,2,ostel,3.56667,49.4333
683,2,sissy,3.43333,49.8
684,2,leury,3.33333,49.4333
685,2,la croix sur ourcq,3.35,49.1667
686,2,pernant,3.23333,49.3833
687,2,etreux,3.65,49.9833
688,2,bruys,3.56667,49.2667
689,2,fontenelle,3.86667,50.0333
690,2,cerseuil,3.51667,49.3333
691,2,voharies,3.8,49.7833
692,2,saint pierre aigle,3.18333,49.3167
693,2,saint martin riviere,3.53333,50.05
694,2,nanteuil notre dame,3.4,49.2
695,2,selens,3.2,49.5
696,2,monthenault,3.66667,49.4833
697,2,saint eugene,3.53333,49.0167
698,2,etouvelles,3.58333,49.5333
699,2,faverolles,3.17639,49.2242
700,2,lislet,4.01667,49.6833
701,2,vendeuil,3.35,49.7167
702,2,folembray,3.28333,49.55
703,2,courbes,3.45,49.6833
704,2,chacrise,3.4,49.3
705,2,serches,3.45,49.35
706,2,acy,3.41667,49.35
707,2,verneuil sous coucy,3.31667,49.5333
708,2,bazoches sur vesles,3.61861,49.3073
709,2,mauregny en haye,3.8,49.5333
710,2,hartennes et taux,3.35,49.2667
711,2,vasseny,3.48333,49.35
712,2,merval,3.7,49.35
713,2,corcy,3.21667,49.25
714,2,bony,3.21667,49.9833
715,2,breny,3.35,49.1833
716,2,brecy,3.43333,49.15
717,2,bruyeres sur fere,3.43333,49.1833
718,2,flavy le martel,3.2,49.7167
719,2,pancy courtecon,3.65,49.4667
